column,observed_count,missing_count,missing_fraction,mean,std,median,q25,q75,min,max,transform,center,scale,negative_count,gt_one_count
aider-polyglot/polyglot_go_protein-translation,16,0,0.0,0.5416666875,0.4545296924508506,0.666667,0.0,1.0,0.0,1.0,identity,0.666667,1.0,0,0
aider-polyglot/polyglot_go_react,16,0,0.0,0.1249999375,0.26020819989324623,0.0,0.0,0.08333325,0.0,1.0,identity,0.0,0.08333325,0,0
aider-polyglot/polyglot_go_robot-simulator,16,0,0.0,0.166666625,0.3333333125000176,0.0,0.0,0.08333325,0.0,1.0,identity,0.0,0.08333325,0,0
aider-polyglot/polyglot_go_say,16,0,0.0,0.8958333125,0.22726491784251446,1.0,1.0,1.0,0.333333,1.0,identity,1.0,0.22726491784251446,0,0
aider-polyglot/polyglot_go_scale-generator,16,0,0.0,0.6875,0.4325112554733403,1.0,0.24999975,1.0,0.0,1.0,identity,1.0,0.75000025,0,0
aider-polyglot/polyglot_go_simple-linked-list,16,0,0.0,0.3541666875,0.39910930237604064,0.1666665,0.0,0.666667,0.0,1.0,identity,0.1666665,0.666667,0,0
aider-polyglot/polyglot_go_sublist,16,0,0.0,0.45833325,0.43898559676450377,0.333333,0.0,1.0,0.0,1.0,identity,0.333333,1.0,0,0
aider-polyglot/polyglot_go_transpose,16,0,0.0,0.625,0.4545296867214781,1.0,0.0,1.0,0.0,1.0,identity,1.0,1.0,0,0
aider-polyglot/polyglot_go_tree-building,16,0,0.0,0.645833375,0.4482798934228864,1.0,0.0,1.0,0.0,1.0,identity,1.0,1.0,0,0
aider-polyglot/polyglot_go_trinary,16,0,0.0,0.0625,0.17554482650059786,0.0,0.0,0.0,0.0,0.666667,identity,0.0,0.17554482650059786,0,0
aider-polyglot/polyglot_go_two-bucket,16,0,0.0,0.5624999374999999,0.45213616530773515,0.6666665,0.0,1.0,0.0,1.0,identity,0.6666665,1.0,0,0
aider-polyglot/polyglot_go_variable-length-quantity,16,0,0.0,0.8333333125,0.3118048379106149,1.0,0.91666675,1.0,0.0,1.0,identity,1.0,0.08333325000000003,0,0
